pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,attack_zone,swing,batter_name
FF,2022-10-05,94.8,-2.81,6.09,"Strickland, Hunter",656716,519326,,swinging_strike,,,,,12,Zach McKinstry strikes out swinging.,R,L,R,CIN,CHC,S,,,1,1,2022,-0.5,1.4,0.64,3.55,,,,0,9,Top,,,,,519222,,,10.02089629,-137.6936931,-4.013992536,-8.616582519,31.26541521,-13.70838535,3.19,1.55,,,,93.7,2407,5.8,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.68,,,,,,,,83,3,4-Seam Fastball,2,15,15,2,15,2,15,2,Infield shift,Standard,210,0,-0.054,shadow,0,"mckinstry, zach"
CH,2022-10-05,89.7,-2.82,6.12,"Strickland, Hunter",656716,519326,,called_strike,,,,,1,Zach McKinstry strikes out swinging.,R,L,R,CIN,CHC,S,,,1,0,2022,-1.29,0.59,-0.45,3.14,,,,0,9,Top,,,,,519222,,,8.52614146,-130.4407195,-2.599197384,-16.51657032,27.46800631,-25.04681272,3.19,1.56,,,,89.2,1823,6,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.49,,,,,,,,83,2,Changeup,2,15,15,2,15,2,15,2,Infield shift,Standard,211,0,-0.043,heart,0,"mckinstry, zach"
FF,2022-10-05,94.6,-2.9,6.07,"Strickland, Hunter",656716,519326,,ball,,,,,11,Zach McKinstry strikes out swinging.,R,L,R,CIN,CHC,B,,,0,0,2022,-0.61,1.43,-1.27,2.97,,,,0,9,Top,,,,,519222,,,5.57724895,-137.5587125,-5.5542841,-8.947346491,31.37916369,-12.97985248,3.26,1.69,,,,93.8,2446,5.9,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.6,,,,,,,,83,1,4-Seam Fastball,2,15,15,2,15,2,15,2,Infield shift,Standard,211,0,0.033,chase,0,"mckinstry, zach"
FF,2022-10-05,94.8,-1.41,5.77,"Wick, Rowan",664670,592858,field_out,hit_into_play,,,,,3,Alejo Lopez lines out to shortstop Zach McKinstry.,R,L,R,CIN,CHC,X,6,line_drive,2,1,2022,-0.2,1.53,0.73,2.71,,,,2,8,Bot,112.33,127.39,,,664731,,,6.061677774,-137.8709813,-5.783139722,-3.991185465,31.63830837,-11.52899152,2.91,1.39,187,69.4,21,95.2,2260,6.6,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,53.89,0.84,0.771,0,1,0,0,4,82,4,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,194,0,-0.114,shadow,0,"lopez, alejo"
FF,2022-10-05,94.9,-1.46,5.86,"Wick, Rowan",664670,592858,,ball,,,,,11,Alejo Lopez lines out to shortstop Zach McKinstry.,R,L,R,CIN,CHC,B,,,1,1,2022,-0.18,1.52,-1.2,4,,,,2,8,Bot,,,,,664731,,,1.093111228,-138.1335905,-2.58954168,-2.581400469,32.11074056,-12.4140858,2.99,1.38,,,,95.3,2253,6.6,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,53.87,,,,,,,,82,3,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,196,0,0.021,chase,0,"lopez, alejo"
FF,2022-10-05,94.8,-1.45,5.78,"Wick, Rowan",664670,592858,,called_strike,,,,,8,Alejo Lopez lines out to shortstop Zach McKinstry.,R,L,R,CIN,CHC,S,,,1,0,2022,-0.31,1.41,0.24,1.29,,,,2,8,Bot,,,,,664731,,,5.131063204,-137.7622169,-9.276597448,-5.031123392,30.59952308,-12.39887608,2.91,1.4,,,,95.5,2317,6.8,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,53.72,,,,,,,,82,2,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,194,0,-0.021,shadow,0,"lopez, alejo"
FF,2022-10-05,94.7,-1.3,5.94,"Wick, Rowan",664670,592858,,ball,,,,,12,Alejo Lopez lines out to shortstop Zach McKinstry.,R,L,R,CIN,CHC,B,,,0,0,2022,-0.14,1.46,0.66,3.93,,,,2,8,Bot,,,,,664731,,,5.451432172,-137.7770376,-2.841614751,-2.965395426,30.96006146,-13.18533672,2.91,1.4,,,,95,2268,6.5,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,53.97,,,,,,,,82,1,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,190,0,0.015,chase,0,"lopez, alejo"
FF,2022-10-05,95.4,-0.57,5.9,"Wick, Rowan",519222,592858,strikeout,swinging_strike,,,,,3,Austin Romine strikes out swinging.,R,R,R,CIN,CHC,S,2,,3,2,2022,-0.17,1.63,0.29,3.32,,,,1,8,Bot,,,,,664731,,,2.638761419,-138.8567686,-4.854932422,-2.726933298,31.13139009,-10.21685391,3.36,1.56,,,,95.9,2302,6.6,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,53.93,,,0,1,0,0,,81,6,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,192,0,-0.207,shadow,0,"romine, austin"
FF,2022-10-05,95.1,-0.71,5.91,"Wick, Rowan",519222,592858,,foul,,,,,11,Austin Romine strikes out swinging.,R,R,R,CIN,CHC,S,,,3,1,2022,-0.27,1.39,-1.14,3.05,,,,1,8,Bot,,,,,664731,,,-0.5178663704,-138.4580982,-4.965144884,-3.333730069,32.00200048,-13.39918322,3.36,1.56,,,,95.4,2211,6.5,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,54,,,,,,,,81,5,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,197,0,-0.049,chase,0,"romine, austin"
FC,2022-10-05,94.3,-0.61,5.94,"Wick, Rowan",519222,592858,,called_strike,,,,,2,Austin Romine strikes out swinging.,R,R,R,CIN,CHC,S,,,3,0,2022,-0.06,1.43,-0.03,3.02,,,,1,8,Bot,,,,,664731,,,1.641345552,-137.2608135,-5.108932827,-1.118179114,30.27949484,-13.15984681,3.23,1.51,,,,94.8,2238,6.5,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,53.97,,,,,,,,81,4,Cutter,2,15,2,15,15,2,2,15,Standard,Standard,190,0,-0.052,heart,0,"romine, austin"
FC,2022-10-05,93.4,-0.65,5.92,"Wick, Rowan",519222,592858,,ball,,,,,11,Austin Romine strikes out swinging.,R,R,R,CIN,CHC,B,,,2,0,2022,-0.06,1.55,-0.71,3.87,,,,1,8,Bot,,,,,664731,,,-0.03622416738,-136.0930521,-2.96254643,-0.6954508024,31.00120715,-12.48053767,3.55,1.67,,,,93.9,2198,6.6,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,53.93,,,,,,,,81,3,Cutter,2,15,2,15,15,2,2,15,Standard,Standard,194,0,0.086,chase,0,"romine, austin"
FC,2022-10-05,94.1,-0.63,5.88,"Wick, Rowan",519222,592858,,ball,,,,,12,Austin Romine strikes out swinging.,R,R,R,CIN,CHC,B,,,1,0,2022,-0.03,1.36,0.02,3.86,,,,1,8,Bot,,,,,664731,,,1.76097458,-137.0779274,-2.564922679,-0.8195042691,30.52859811,-14.66677827,3.36,1.54,,,,94.4,2238,6.4,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,54.07,,,,,,,,81,2,Cutter,2,15,2,15,15,2,2,15,Standard,Strategic,193,0,0.044,chase,0,"romine, austin"
FF,2022-10-05,94.7,-0.74,5.95,"Wick, Rowan",519222,592858,,ball,,,,,11,Austin Romine strikes out swinging.,R,R,R,CIN,CHC,B,,,0,0,2022,-0.31,1.4,-1.8,3.29,,,,1,8,Bot,,,,,664731,,,-2.084955369,-137.8344141,-4.373564999,-3.448299683,31.80535944,-13.58711123,3.55,1.8,,,,94.8,2142,6.4,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,54.09,,,,,,,,81,1,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,199,0,0.023,waste,0,"romine, austin"
FF,2022-10-05,94.3,-0.76,5.9,"Wick, Rowan",676480,592858,field_out,hit_into_play,,,,,11,Jose Barrero pops out to catcher P.  J. Higgins in foul territory.,R,R,R,CIN,CHC,X,2,popup,1,0,2022,-0.37,1.38,-0.16,3.72,,,,0,8,Bot,144.17,213.98,,,664731,,,2.373954376,-137.3805476,-3.071595904,-5.159082634,30.57375724,-14.20810293,3.46,1.67,50,68.7,82,94.7,2259,6.5,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,54.01,0.006,0.005,0,1,0,0,3,80,2,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,193,0,-0.255,shadow,0,"barrero, jose"
FC,2022-10-05,93.5,-0.67,5.94,"Wick, Rowan",676480,592858,,ball,,,,,11,Jose Barrero pops out to catcher P.  J. Higgins in foul territory.,R,R,R,CIN,CHC,B,,,0,0,2022,0.11,1.22,-0.46,4.52,,,,0,8,Bot,,,,,664731,,,0.3122959445,-136.2649771,-0.5983893829,1.337737613,29.68642023,-17.09580279,3.62,1.72,,,,93.9,2089,6.4,663131,592858,664731,663845,606019,623520,656716,621550,666624,676369,54.09,,,,,,,,80,1,Cutter,2,15,2,15,15,2,2,15,Standard,Standard,188,0,0.033,waste,0,"barrero, jose"
CH,2022-10-05,83.5,3.38,4.91,"Sanmartin, Reiver",666624,665665,field_out,hit_into_play,,,,,14,"Christopher Morel grounds out, third baseman Matt Reynolds to first baseman Aramis Garcia.",R,R,L,CIN,CHC,X,5,ground_ball,0,0,2022,1.52,-0.15,0.35,1.45,,,606019,2,8,Top,105.51,165.76,,,519222,,,-10.01662837,-121.1897887,-1.161072874,16.98470663,24.28050065,-33.67205369,3.4,1.59,5,72,-17,83.7,2147,6.6,663131,665665,519222,605244,668715,608703,676480,656413,672279,641584,53.9,0.057,0.055,0,1,0,0,2,79,1,Changeup,2,15,15,2,15,2,15,2,Standard,Standard,96,0,-0.218,shadow,0,"morel, christopher"
